,"G","h","b","tw","tf","r","A","hi","d","fi","pmin","pmax","AL","AG","Iy","Wel.y","Wpl.y","iy","Avz","Iz","Wel.z","Wpl.z"," iz","ss","It","Iw",1,2,3,4
"HE 300 B",117,300,300,11,19,27,149.1,262,208,27,120,198,1.732,14.8,25170,1678,1869,12.99,47.43,8563,570.9,870.1,7.58,80.63,185,1688,96,116,60,80
"HE 300 M",238,340,310,21,39,27,303.1,262,208,27,132,208,1.832,7.699,59200,3482,4078,13.98,90.53,19400,1252,1913,8,130.6,1408,4386,50,60,33,43
"HE 320 AA",74.2,301,300,8,11,27,94.6,279,225,27,118,198,1.74,23.43,16450,1093,1196,13.19,35.4,4959,330.6,505.7,7.24,61.63,55.87,1041,152,184,95,127
"HE 320 A",97.6,310,300,9,15.5,27,124.4,279,225,27,118,198,1.756,17.98,22930,1479,1628,13.58,41.13,6985,465.7,709.7,7.49,71.63,108,1512,117,141,74,98
"HE 320 B",127,320,300,11.5,20.5,27,161.3,279,225,27,122,198,1.771,13.98,30820,1926,2149,13.82,51.77,9239,615.9,939.1,7.57,84.13,225.1,2069,91,110,58,77
"HE 320 M",245,359,309,21,40,27,312,279,225,27,132,204,1.866,7.616,68130,3796,4435,14.78,94.85,19710,1276,1951,7.95,132.6,1501,5004,50,60,33,43
"HE 340 AA",78.9,320,300,8.5,11.5,27,100.5,297,243,27,118,198,1.777,22.52,19550,1222,1341,13.95,38.69,5185,345.6,529.3,7.18,63.13,63.07,1231,147,177,94,123
"HE 340 A",105,330,300,9.5,16.5,27,133.5,297,243,27,118,198,1.795,17.13,27690,1678,1850,14.4,44.95,7436,495.7,755.9,7.46,74.13,127.2,1824,112,134,72,94
"HE 340 B",134,340,300,12,21.5,27,170.9,297,243,27,122,198,1.81,13.49,36660,2156,2408,14.65,56.09,9690,646,985.7,7.53,86.63,257.2,2454,88,106,57,75
"HE 340 M",248,377,309,21,40,27,315.8,297,243,27,132,204,1.902,7.67,76370,4052,4718,15.55,98.63,19710,1276,1953,7.9,132.6,1506,5584,50,60,34,43
"HE 360 AA",83.7,339,300,9,12,27,106.6,315,261,27,118,198,1.814,21.67,23040,1359,1495,14.7,42.17,5410,360.7,553,7.12,64.63,70.99,1444,142,170,92,120
"HE 360 A",112,350,300,10,17.5,27,142.8,315,261,27,120,198,1.834,16.36,33090,1891,2088,15.22,48.96,7887,525.8,802.3,7.43,76.63,148.8,2177,107,128,70,91
"HE 360 B",142,360,300,12.5,22.5,27,180.6,315,261,27,122,198,1.849,13.04,43190,2400,2683,15.46,60.6,10140,676.1,1032,7.49,89.13,292.5,2883,86,102,56,73
"HE 360 M",250,395,308,21,40,27,318.8,315,261,27,132,204,1.934,7.73,84870,4297,4989,16.32,102.4,19520,1268,1942,7.83,132.6,1507,6137,51,61,34,44
"HE 400 AA",92.4,378,300,9.5,13,27,117.7,352,298,27,118,198,1.891,20.46,31250,1654,1824,16.3,47.95,5861,390.8,599.7,7.06,67.13,84.69,1948,135,161,90,115
"HE 400 A",125,390,300,11,19,27,159,352,298,27,120,198,1.912,15.32,45070,2311,2562,16.84,57.33,8564,570.9,872.9,7.34,80.63,189,2942,101,120,68,87
"HE 400 B",155,400,300,13.5,24,27,197.8,352,298,27,124,198,1.927,12.41,57680,2884,3232,17.08,69.98,10820,721.3,1104,7.4,93.13,355.7,3817,82,97,56,71
"HE 400 M",256,432,307,21,40,27,325.8,352,298,27,132,202,2.004,7.835,104100,4820,5571,17.88,110.2,19340,1260,1934,7.7,132.6,1515,7410,52,62,36,45
"HE 450 AA",99.7,425,300,10,13.5,27,127.1,398,344,27,120,198,1.984,19.89,41890,1971,2183,18.16,54.7,6088,405.8,624.4,6.92,68.63,95.61,2572,133,156,91,114
"HE 450 A",140,440,300,11.5,21,27,178,398,344,27,122,198,2.011,14.39,63720,2896,3216,18.92,65.78,9465,631,965.5,7.29,85.13,243.8,4148,96,113,66,83
"HE 450 B",171,450,300,14,26,27,218,398,344,27,124,198,2.026,11.84,79890,3551,3982,19.14,79.66,11720,781.4,1198,7.33,97.63,440.5,5258,79,93,55,69
"HE 450 M",263,478,307,21,40,27,335.4,398,344,27,132,202,2.096,7.959,131500,5501,6331,19.8,119.8,19340,1260,1939,7.59,132.6,1529,9251,53,62,38,47
"HE 500 AA",107,472,300,10.5,14,27,136.9,444,390,27,120,198,2.077,19.33,54640,2315,2576,19.98,61.91,6314,420.9,649.3,6.79,70.13,107.7,3304,130,152,91,113
"HE 500 A",155,490,300,12,23,27,197.5,444,390,27,122,198,2.11,13.6,86970,3550,3949,20.98,74.72,10370,691.1,1059,7.24,89.63,309.3,5643,92,107,65,80
"HE 500 B",187,500,300,14.5,28,27,238.6,444,390,27,124,198,2.125,11.34,107200,4287,4815,21.19,89.82,12620,841.6,1292,7.27,102.1,538.4,7018,76,89,54,67
"HE 500 M",270,524,306,21,40,27,344.3,444,390,27,132,202,2.184,8.079,161900,6180,7094,21.69,129.5,19150,1252,1932,7.46,132.6,1539,11190,55,63,39,48
"HE 550 AA",120,522,300,11.5,15,27,152.8,492,438,27,122,198,2.175,18.13,72870,2792,3128,21.84,72.66,6767,451.1,698.6,6.65,73.13,133.7,4338,123,142,88,108
"HE 550 A",166,540,300,12.5,24,27,211.8,492,438,27,122,198,2.209,13.29,111900,4146,4622,22.99,83.72,10820,721.3,1107,7.15,92.13,351.5,7189,90,104,65,79
"HE 550 B",199,550,300,15,29,27,254.1,492,438,27,124,198,2.224,11.15,136700,4971,5591,23.2,100.1,13080,871.8,1341,7.17,104.6,600.3,8856,76,88,55,67
"HE 550 M",278,572,306,21,40,27,354.4,492,438,27,132,202,2.28,8.195,198000,6923,7933,23.64,139.6,19160,1252,1937,7.35,132.6,1554,13520,56,64,41,50
"HE 600 AA",129,571,300,12,15.5,27,164.1,540,486,27,122,198,2.272,17.64,91900,3218,3623,23.66,81.29,6993,466.2,724.5,6.53,74.63,149.8,5381,120,138,88,106
